id,name,chamber,party,state,electorate,occupation,sector_hint,source
298840,"REPACHOLI, Dan",Member,Australian Labor Party,NSW,Hunter,Fitter from 1997 to 2009.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/298840
HWA,"RISHWORTH, the Hon. Amanda Louise",Member,Australian Labor Party,SA,Kingston,Occupational health and safety trainer from 2006 to 2007.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/HWA
HWA,"RISHWORTH, the Hon. Amanda Louise",Member,Australian Labor Party,SA,Kingston,Psychologist from 2005 to 2007.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/HWA
HWA,"RISHWORTH, the Hon. Amanda Louise",Member,Australian Labor Party,SA,Kingston,Union representative from 2000 to 2005.,Union / worker organisation,https://handbook.aph.gov.au/parliamentarians/HWA
HWA,"RISHWORTH, the Hon. Amanda Louise",Member,Australian Labor Party,SA,Kingston,Research assistant from 1998 to 1999.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/HWA
HWA,"RISHWORTH, the Hon. Amanda Louise",Member,Australian Labor Party,SA,Kingston,Swimming instructor from 1995 to 1999.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/HWA
HWA,"RISHWORTH, the Hon. Amanda Louise",Member,Australian Labor Party,SA,Kingston,Retail assistant from 1994 to 1999.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/HWA
266524,"ROBERTS, Malcolm Ieuan",Senator,One Nation,Qld,,Investigating climate claims from 2008,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/266524
266524,"ROBERTS, Malcolm Ieuan",Senator,One Nation,Qld,,General manager from 1990 to 1993.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/266524
266524,"ROBERTS, Malcolm Ieuan",Senator,One Nation,Qld,,Mine manager from 1983 to 1988.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/266524
266524,"ROBERTS, Malcolm Ieuan",Senator,One Nation,Qld,,Mining engineer from 1979 to 1983.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/266524
266524,"ROBERTS, Malcolm Ieuan",Senator,One Nation,Qld,,Coal face miner underground from 1977 to 1979.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/266524
266524,"ROBERTS, Malcolm Ieuan",Senator,One Nation,Qld,,"Vineyard labourer, 1973.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/266524
157125,"ROBERTS, Tracey",Member,Australian Labor Party,WA,Pearce,Not recorded,Unknown,https://handbook.aph.gov.au/parliamentarians/157125
159771,"ROWLAND, the Hon. Michelle Anne",Member,Australian Labor Party,NSW,Greenway,Chair of Screen NSW from 2009 to 2010.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/159771
159771,"ROWLAND, the Hon. Michelle Anne",Member,Australian Labor Party,NSW,Greenway,"Director of Our Lady of Mercy, Parramatta (NSW) from 2008 to 2010.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/159771
159771,"ROWLAND, the Hon. Michelle Anne",Member,Australian Labor Party,NSW,Greenway,Non-Executive Director of the Western Sydney Parklands Trust from 2007 to 2010.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/159771
159771,"ROWLAND, the Hon. Michelle Anne",Member,Australian Labor Party,NSW,Greenway,Senior lawyer at Gilbert and Tobin from 2000 to 2010.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/159771
159771,"ROWLAND, the Hon. Michelle Anne",Member,Australian Labor Party,NSW,Greenway,Director of the Western Sydney Area Health Service from 2000 to 2004.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/159771
159771,"ROWLAND, the Hon. Michelle Anne",Member,Australian Labor Party,NSW,Greenway,Regulatory affairs adviser for NRMA Ltd. from 1999 to 2000.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/159771
159771,"ROWLAND, the Hon. Michelle Anne",Member,Australian Labor Party,NSW,Greenway,Electorate officer from 1995 to 1999.,Political employment,https://handbook.aph.gov.au/parliamentarians/159771
159771,"ROWLAND, the Hon. Michelle Anne",Member,Australian Labor Party,NSW,Greenway,Checkout operator from 1987 to 1995.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/159771
243273,"RUSTON, the Hon. Anne Sowerby",Senator,Liberal Party of Australia,SA,,Owner/operator of Ruston's Roses from 2003 to 2012.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/243273
243273,"RUSTON, the Hon. Anne Sowerby",Senator,Liberal Party of Australia,SA,,Chief Executive of the National Wine Centre from 1996 to 2002.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/243273
243273,"RUSTON, the Hon. Anne Sowerby",Senator,Liberal Party of Australia,SA,,"Senior Policy Adviser to the Minister for Industrial Affairs, Tourism, Recreation, Sport and Racing (SA) from 1993 to 1996.",Political employment,https://handbook.aph.gov.au/parliamentarians/243273
243273,"RUSTON, the Hon. Anne Sowerby",Senator,Liberal Party of Australia,SA,,Electorate officer from 1987 to 1993.,Political employment,https://handbook.aph.gov.au/parliamentarians/243273
249224,"RYAN, Joanne Catherine",Member,Australian Labor Party,Vic,Lalor,Teacher at Laverton Secondary College (Vic.).,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/249224
249224,"RYAN, Joanne Catherine",Member,Australian Labor Party,Vic,Lalor,"Assistant Principal at Galvin Park School, Werribee (Vic.).",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/249224
249224,"RYAN, Joanne Catherine",Member,Australian Labor Party,Vic,Lalor,"Acting Principal at Galvin Park School, Werribee (Vic.).",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/249224
